Tue, Oct 18, 2022	7:30p	Philadelphia 76ers	117	Boston Celtics	126	Box Score		19,156	2:31	TD Garden	
Tue, Oct 18, 2022	10:00p	Los Angeles Lakers	109	Golden State Warriors	123	Box Score		18,064	2:33	Chase Center	
Wed, Oct 19, 2022	7:00p	Orlando Magic	109	Detroit Pistons	113	Box Score		20,190	2:16	Little Caesars Arena	
Wed, Oct 19, 2022	7:00p	Washington Wizards	114	Indiana Pacers	107	Box Score		15,027	2:22	Gainbridge Fieldhouse	
Wed, Oct 19, 2022	7:30p	Houston Rockets	107	Atlanta Hawks	117	Box Score		17,878	2:05	State Farm Arena	
Wed, Oct 19, 2022	7:30p	New Orleans Pelicans	130	Brooklyn Nets	108	Box Score		18,003	2:14	Barclays Center	
Wed, Oct 19, 2022	7:30p	New York Knicks	112	Memphis Grizzlies	115	Box Score	OT	18,202	2:36	FedEx Forum	
Wed, Oct 19, 2022	7:30p	Chicago Bulls	116	Miami Heat	108	Box Score		19,600	2:20	Kaseya Center	
Wed, Oct 19, 2022	7:30p	Cleveland Cavaliers	105	Toronto Raptors	108	Box Score		19,800	2:19	Scotiabank Arena	
Wed, Oct 19, 2022	8:00p	Oklahoma City Thunder	108	Minnesota Timberwolves	115	Box Score		17,136	2:21	Target Center	
Wed, Oct 19, 2022	8:00p	Charlotte Hornets	129	San Antonio Spurs	102	Box Score		16,236	2:07	AT&T Center	
Wed, Oct 19, 2022	9:00p	Denver Nuggets	102	Utah Jazz	123	Box Score		18,206	2:15	Vivint Arena	
Wed, Oct 19, 2022	10:00p	Dallas Mavericks	105	Phoenix Suns	107	Box Score		17,071	2:26	Footprint Center	
Wed, Oct 19, 2022	10:00p	Portland Trail Blazers	115	Sacramento Kings	108	Box Score		17,611	2:24	Golden 1 Center	
Thu, Oct 20, 2022	7:30p	Milwaukee Bucks	90	Philadelphia 76ers	88	Box Score		20,060	2:19	Wells Fargo Center	
Thu, Oct 20, 2022	10:00p	Los Angeles Clippers	103	Los Angeles Lakers	97	Box Score		18,997	2:30	Crypto.com Arena	
Fri, Oct 21, 2022	7:00p	New Orleans Pelicans	124	Charlotte Hornets	112	Box Score		19,287	2:15	Spectrum Center	
Fri, Oct 21, 2022	7:00p	San Antonio Spurs	137	Indiana Pacers	134	Box Score		12,073	2:30	Gainbridge Fieldhouse	
Fri, Oct 21, 2022	7:00p	Chicago Bulls	100	Washington Wizards	102	Box Score		20,476	2:15	Capital One Arena	
Fri, Oct 21, 2022	7:30p	Orlando Magic	98	Atlanta Hawks	108	Box Score		17,822	2:12	State Farm Arena	
Fri, Oct 21, 2022	7:30p	Toronto Raptors	105	Brooklyn Nets	109	Box Score		17,732	2:15	Barclays Center	
Fri, Oct 21, 2022	7:30p	Boston Celtics	111	Miami Heat	104	Box Score		19,600	2:10	Kaseya Center	
Fri, Oct 21, 2022	7:30p	Detroit Pistons	106	New York Knicks	130	Box Score		19,812	2:12	Madison Square Garden (IV)	
Fri, Oct 21, 2022	8:00p	Memphis Grizzlies	129	Houston Rockets	122	Box Score		18,055	2:19	Toyota Center	
Fri, Oct 21, 2022	8:00p	Utah Jazz	132	Minnesota Timberwolves	126	Box Score	OT	17,136	2:37	Target Center	
Fri, Oct 21, 2022	10:00p	Denver Nuggets	128	Golden State Warriors	123	Box Score		18,064	2:31	Chase Center	
Fri, Oct 21, 2022	10:00p	Phoenix Suns	111	Portland Trail Blazers	113	Box Score	OT	19,393	2:35	Moda Center	
Sat, Oct 22, 2022	6:00p	San Antonio Spurs	114	Philadelphia 76ers	105	Box Score		19,822	2:15	Wells Fargo Center	
Sat, Oct 22, 2022	7:00p	Detroit Pistons	115	Indiana Pacers	124	Box Score		16,056	2:26	Gainbridge Fieldhouse	
Sat, Oct 22, 2022	7:00p	Boston Celtics	126	Orlando Magic	120	Box Score		19,299	2:24	Amway Center	
Sat, Oct 22, 2022	8:00p	Cleveland Cavaliers	128	Chicago Bulls	96	Box Score		21,089	2:11	United Center	
Sat, Oct 22, 2022	8:00p	Toronto Raptors	109	Miami Heat	112	Box Score		19,600	2:29	Kaseya Center	
